State,Year,Pop12_17,Pop18_25,Pop26Plus,Alc12_17,Alc18_25,Alc26Plus,Mar1_17,Mar18_25,Mar26Plus,Tob12_17,Tob18_25,Tob26Plus,Division,Region
Alabama,2002,380805,499453,2812905,0.150033,0.509551,0.372703,0.063662,0.124672,0.025967,0.166578,0.451976,0.330659,East South Central,South
Alaska,2002,69400,62791,368460,0.158988,0.598311,0.559151,0.110781,0.239907,0.071362,0.163918,0.48427,0.30422,Pacific,West
Arizona,2002,485521,602265,3329482,0.186864,0.584521,0.532858,0.077371,0.15178,0.036657,0.151071,0.397968,0.309969,Mountain,West
Arkansas,2002,232986,302029,1687337,0.167065,0.537894,0.393372,0.07967,0.164807,0.033891,0.195714,0.558846,0.39121,West South Central,South
California,2002,3140739,3919577,21392421,0.152791,0.555278,0.553801,0.076595,0.160916,0.045736,0.092235,0.351353,0.220699,Pacific,West
Colorado,2002,385648,493921,2798960,0.20633,0.688926,0.627921,0.098228,0.216673,0.060119,0.174446,0.499545,0.298565,Mountain,West
Connecticut,2002,295157,323120,2235763,0.188769,0.722784,0.610183,0.092197,0.236209,0.042218,0.151937,0.461399,0.2586,New England,Northeast
Delaware,2002,66477,88388,514059,0.183472,0.627116,0.558889,0.094062,0.22055,0.03956,0.163023,0.46475,0.283159,South Atlantic,South
District of Columbia,2002,33192,73655,372907,0.130168,0.671688,0.585239,0.074326,0.241396,0.069323,0.095288,0.373867,0.293435,South Atlantic,South
Florida,2002,1346297,1576278,11066322,0.173502,0.596576,0.556781,0.085194,0.176802,0.047513,0.143359,0.415541,0.279116,South Atlantic,South
Georgia,2002,748467,945489,5202846,0.150875,0.521851,0.494115,0.068659,0.130115,0.031782,0.157931,0.41744,0.310698,South Atlantic,South
Hawaii,2002,103803,122789,761280,0.179609,0.585743,0.512835,0.102273,0.169993,0.04901,0.123329,0.3659,0.243703,Pacific,West
Idaho,2002,128028,164566,794611,0.173672,0.53618,0.513435,0.079185,0.124741,0.031031,0.146953,0.430815,0.271341,Mountain,West
