Sweetness,Sugar,Lime,MiracleBerry
2,2,2,Absent
2,2,3,Absent
2,2,1,Absent
2,2,2,Absent
2,2,2,Absent
1,2,2,Absent
2,2,0,Absent
3,2,2,Absent
2,2,2,Absent
2,2,0,Absent
2,2,2,Absent
3,2,2,Absent
2,2,0,Absent
2,2,0,Absent
3,2,1,Absent
2,2,2,Absent
2,2,1,Absent
1,2,4,Absent
2,2,1,Absent
3,2,2,Absent
2,2,2,Absent
2,2,1,Absent
2,2,1,Absent
2,2,2,Absent
1,2,4,Absent
2,2,1,Absent
1,2,3,Absent
2,2,1,Absent
2,2,3,Absent
2,2,2,Absent
1,2,0,Absent
1,2,2,Absent
2,2,2,Absent
2,2,2,Absent
1,2,1,Absent
2,2,3,Absent
2,2,0,Absent
1,2,3,Absent
1,2,3,Absent
2,2,3,Absent
3,2,3,Absent
2,2,1,Absent
1,2,3,Absent
2,2,4,Absent
2,2,2,Absent
1,2,1,Absent
2,2,2,Absent
2,2,3,Absent
1,2,3,Absent
1,2,3,Absent
5,2,3,Present
3,2,2,Present
2,2,0,Present
3,2,1,Present
5,2,4,Present
3,2,2,Present
3,2,2,Present
4,2,2,Present
3,2,0,Present
5,2,3,Present
3,2,0,Present
4,2,2,Present
3,2,1,Present
4,2,1,Present
5,2,4,Present
3,2,1,Present
1,2,0,Present
2,2,1,Present
2,2,0,Present
3,2,1,Present
6,2,4,Present
6,2,3,Present
3,2,2,Present
2,2,0,Present
5,2,3,Present
3,2,2,Present
4,2,1,Present
6,2,4,Present
2,2,0,Present
5,2,3,Present
3,2,0,Present
6,2,4,Present
2,2,1,Present
4,2,2,Present
2,2,0,Present
2,2,1,Present
3,2,3,Present
4,2,3,Present
5,2,3,Present
3,2,2,Present
4,2,2,Present
5,2,3,Present
4,2,3,Present
4,2,2,Present
5,2,3,Present
4,2,2,Present
7,2,4,Present
4,2,2,Present
6,2,4,Present
5,2,3,Present
