"","Owner","Dog"
"1","Left-Handed","Left-Pawed"
"2","Left-Handed","Left-Pawed"
"3","Left-Handed","Left-Pawed"
"4","Left-Handed","Right-Pawed"
"5","Left-Handed","Right-Pawed"
"6","Left-Handed","Right-Pawed"
"7","Left-Handed","Right-Pawed"
"8","Left-Handed","Left-Pawed"
"9","Left-Handed","Right-Pawed"
"10","Left-Handed","Right-Pawed"
"11","Left-Handed","Right-Pawed"
"12","Left-Handed","Right-Pawed"
"13","Left-Handed","Right-Pawed"
"14","Left-Handed","Left-Pawed"
"15","Left-Handed","Right-Pawed"
"16","Left-Handed","Right-Pawed"
"17","Left-Handed","Right-Pawed"
"18","Left-Handed","Right-Pawed"
"19","Left-Handed","Left-Pawed"
"20","Left-Handed","Left-Pawed"
"21","Left-Handed","Left-Pawed"
"22","Left-Handed","Left-Pawed"
"23","Left-Handed","Left-Pawed"
"24","Left-Handed","Left-Pawed"
"25","Left-Handed","Right-Pawed"
"26","Left-Handed","Right-Pawed"
"27","Left-Handed","Left-Pawed"
"28","Left-Handed","Right-Pawed"
"29","Left-Handed","Right-Pawed"
"30","Left-Handed","Right-Pawed"
"31","Left-Handed","Left-Pawed"
"32","Left-Handed","Right-Pawed"
"33","Left-Handed","Left-Pawed"
"34","Left-Handed","Right-Pawed"
"35","Left-Handed","Left-Pawed"
"36","Left-Handed","Right-Pawed"
"37","Left-Handed","Right-Pawed"
"38","Left-Handed","Right-Pawed"
"39","Left-Handed","Left-Pawed"
"40","Left-Handed","Right-Pawed"
"41","Left-Handed","Right-Pawed"
"42","Left-Handed","Right-Pawed"
"43","Left-Handed","Right-Pawed"
"44","Left-Handed","Left-Pawed"
"45","Left-Handed","Right-Pawed"
"46","Left-Handed","Left-Pawed"
"47","Left-Handed","Left-Pawed"
"48","Left-Handed","Right-Pawed"
"49","Left-Handed","Left-Pawed"
"50","Left-Handed","Right-Pawed"
"51","Left-Handed","Right-Pawed"
"52","Left-Handed","Right-Pawed"
"53","Left-Handed","Left-Pawed"
"54","Left-Handed","Right-Pawed"
"55","Left-Handed","Right-Pawed"
"56","Left-Handed","Left-Pawed"
"57","Left-Handed","Right-Pawed"
"58","Left-Handed","Right-Pawed"
"59","Left-Handed","Right-Pawed"
"60","Left-Handed","Right-Pawed"
"61","Right-Handed","Right-Pawed"
"62","Right-Handed","Right-Pawed"
"63","Right-Handed","Right-Pawed"
"64","Right-Handed","Right-Pawed"
"65","Right-Handed","Left-Pawed"
"66","Right-Handed","Right-Pawed"
"67","Right-Handed","Right-Pawed"
"68","Right-Handed","Right-Pawed"
"69","Right-Handed","Right-Pawed"
"70","Right-Handed","Right-Pawed"
"71","Right-Handed","Right-Pawed"
"72","Right-Handed","Right-Pawed"
"73","Right-Handed","Right-Pawed"
"74","Right-Handed","Right-Pawed"
"75","Right-Handed","Left-Pawed"
"76","Right-Handed","Right-Pawed"
"77","Right-Handed","Left-Pawed"
"78","Right-Handed","Right-Pawed"
"79","Right-Handed","Left-Pawed"
"80","Right-Handed","Right-Pawed"
"81","Right-Handed","Right-Pawed"
"82","Right-Handed","Right-Pawed"
"83","Right-Handed","Left-Pawed"
"84","Right-Handed","Right-Pawed"
"85","Right-Handed","Left-Pawed"
"86","Right-Handed","Right-Pawed"
"87","Right-Handed","Right-Pawed"
"88","Right-Handed","Right-Pawed"
"89","Right-Handed","Left-Pawed"
"90","Right-Handed","Right-Pawed"
"91","Right-Handed","Right-Pawed"
"92","Right-Handed","Right-Pawed"
"93","Right-Handed","Right-Pawed"
"94","Right-Handed","Left-Pawed"
"95","Right-Handed","Right-Pawed"
"96","Right-Handed","Right-Pawed"
"97","Right-Handed","Right-Pawed"
"98","Right-Handed","Left-Pawed"
"99","Right-Handed","Right-Pawed"
"100","Right-Handed","Left-Pawed"
"101","Right-Handed","Left-Pawed"
"102","Right-Handed","Right-Pawed"
"103","Right-Handed","Right-Pawed"
"104","Right-Handed","Left-Pawed"
"105","Right-Handed","Right-Pawed"
"106","Right-Handed","Right-Pawed"
"107","Right-Handed","Right-Pawed"
"108","Right-Handed","Right-Pawed"
"109","Right-Handed","Right-Pawed"
"110","Right-Handed","Right-Pawed"
"111","Right-Handed","Right-Pawed"
"112","Right-Handed","Right-Pawed"
"113","Right-Handed","Right-Pawed"
"114","Right-Handed","Right-Pawed"
"115","Right-Handed","Right-Pawed"
"116","Right-Handed","Right-Pawed"
"117","Right-Handed","Left-Pawed"
"118","Right-Handed","Right-Pawed"
"119","Right-Handed","Right-Pawed"
"120","Right-Handed","Left-Pawed"
